Zip,Price,Area,Room,PriceSqm
1068 EM,375000.0,88,3,4261.363636363636
1086 ZM,1200000.0,231,8,5194.805194805195
1055 LW,425000.0,71,3,5985.915492957746
1078 KN,730000.0,89,3,8202.247191011236
1055 NS,325000.0,48,4,6770.833333333333
1103 TT,275000.0,78,3,3525.641025641026
1017 ET,535000.0,67,2,7985.074626865671
1055 NX,375000.0,57,3,6578.9473684210525
1093 NK,775000.0,126,5,6150.793650793651
1063 NK,375000.0,78,3,4807.692307692308
1059 AK,400000.0,54,3,7407.407407407408
1092 BP,300000.0,40,2,7500.0
1104 DH,375000.0,104,3,3605.769230769231
1104 VA,295000.0,91,3,3241.7582417582416
1082 CB,345000.0,57,2,6052.631578947368
1104 MN,260000.0,71,3,3661.9718309859154
1107 AN,225000.0,56,2,4017.8571428571427
1057 RK,425000.0,50,2,8500.0
1087 DM,475000.0,90,3,5277.777777777777
1068 PM,425000.0,108,3,3935.185185185185
1016 GX,1170000.0,121,2,9669.421487603306
1092 VG,520000.0,69,3,7536.231884057971
1065 XK,350000.0,68,4,5147.058823529412
1103 KW,289500.0,108,5,2680.5555555555557
1066 WE,480000.0,127,5,3779.527559055118
1034 EZ,325000.0,84,4,3869.0476190476193
1068 RL,250000.0,57,2,4385.964912280701
